resource_id,name,category,subcategory,services,address,city,state,postal_code,country,phone,website,latitude,longitude,notes,source
TX-WEB-BATP,Bay Area Turning Point Inc.,housing_shelter,Shelter | Domestic Violence,Shelter; counseling; crisis intervention; court accompaniment; support groups,210 S Walnut St,Webster,TX,77598,USA,281-286-2525,https://www.bayareaturningpoint.org,29.5377,-95.1183,Confidential shelter,verified_web
WI-RAC-BELEAF,BeLEAF Survivors,sexual_assault,Crisis Center | Sexual Assault,Advocacy; counseling; support services; education,8501 Washington Ave,Racine,WI,53406,USA,262-619-1634,https://beleafwi.org,42.7197,-87.8736,,verified_web
MO-BEL-BPDVS,Belton Police Department Victim Services,other,Victim Services | General Crime Victims,Victim advocacy; crisis support; referrals,7001 E 163rd St,Belton,MO,64012,USA,816-348-4430,,38.8103,-94.5133,,verified_web
NJ-HAC-ADV,Bergen County Alternatives to Domestic Violence,domestic_violence,Multi-Service | Domestic Violence Support,Hotline; domestic violence intervention; advocacy; support services,1 Bergen County Plaza 2nd Floor,Hackensack,NJ,07601,USA,201-336-7575,https://bergencountynj.gov/bergen-county-department-of-human-services/about-alternatives-to-domestic-violence/,,,,",verified_web"
IL-CHICAGO-BF,Between Friends,domestic_violence,Counseling | Domestic Violence,Counseling; advocacy; education,P.O. Box 608548,Chicago,IL,60660,USA,800-603-4357,https://betweenfriendschicago.org,,,,verified_web
MT-BIL-CITYATTYDV,Billings City Attorney's Office Domestic Violence Unit,legal_aid,Legal | Domestic Violence Legal Aid,Criminal justice assistance; protection orders; victim compensation assistance; referrals,210 N 27th St,Billings,MT,59101,USA,406-657-8205,https://ci.billings.mt.us,45.7830,-108.5050,,verified_web
RI-PWT-BVAC,Blackstone Valley Advocacy Center,housing_shelter,Shelter | Domestic Violence,Shelter; transitional housing; hotline; court advocacy; support groups; case management,PO Box 910,Pawtucket,RI,02862,USA,401-723-3057,https://www.bvacri.org,41.8787,-71.3826,Confidential shelter; Multilingual services,verified_web
TX-HOU-BPSOS,Boat People SOS Houston,legal_aid,Legal | Immigration Legal Aid,Case management; legal representation; protective orders; immigration services,11360 Bellaire Blvd Ste 910,Houston,TX,77072,USA,281-530-6888,https://bpsos.org,29.7055,-95.5720,Multilingual services,verified_web
MA-BOSTON-BARCC,Boston Area Rape Crisis Center,sexual_assault,Crisis Center | Sexual Assault,Hotline; counseling; advocacy; case management,99 Bishop Allen Dr,Cambridge,MA,02139,USA,800-841-8371,https://barcc.org,,,,verified_web
OR-POR-BRADLEY,Bradley Angle,housing_shelter,Shelter | Domestic Violence,Shelter; advocacy; crisis support; referrals,PO Box 14694,Portland,OR,97293,USA,888-235-5333,https://bradleyangle.org,45.5152,-122.6784,Confidential shelter; LGBTQ+ inclusive,verified_web
WV-HUN-BRANCHES,Branches Putnam County Outreach,domestic_violence,Multi-Service | Domestic Violence Support,Crisis intervention; advocacy; case management,816 Madison Ave,Huntington,WV,25704,USA,304-529-2382,,38.4192,-82.4452,,verified_web
MN-STPAUL-BREAKINGFREE,Breaking Free,housing_shelter,Shelter | Sexual Exploitation,Housing; advocacy; support services,P.O. Box 5263,St Paul,MN,55105,USA,651-645-6557,https://breakingfree.net,,,Confidential shelter,verified_web
NH-NAS-BRIDGES,Bridges Domestic & Sexual Violence Support Services,housing_shelter,Shelter | Domestic Violence,Shelter; hotline; court advocacy; support groups; referrals; crisis intervention,PO Box 326,Nashua,NH,03061,USA,603-883-3044,https://www.bridgesnh.org,42.7654,-71.4676,Confidential shelter,verified_web
TN-FRA-BRIDGES,Bridges Domestic Violence Center,housing_shelter,Shelter | Domestic Violence,Shelter; crisis intervention; counseling; legal advocacy; support groups,PO Box 1592,Franklin,TN,37065,USA,615-599-5777,https://www.bridgesdvc.org,35.9251,-86.8689,Confidential shelter; Multilingual services,verified_web
GA-ATL-BRIDGES,BRIDGES Program,domestic_violence,Advocacy | Domestic Violence,Advocacy; safety planning; deaf services,1525 E Park Pl Blvd Ste 100,Stone Mountain,GA,30087,USA,404-381-8282,https://gcadv.org,,,Serves Deaf community,verified_web
MN-STPAUL-BRIDGES,Bridges to Safety,legal_aid,Legal | Domestic Violence,Protective orders; legal advocacy,25 W 7th St,St Paul,MN,55102,USA,651-266-9901,https://www.bridgestosafety.org,,,,verified_web
OH-COL-BRAVO,Buckeye Region Anti-Violence Organization (BRAVO),domestic_violence,Multi-Service | LGBTQ Violence Support,Safety planning; advocacy; hate crime reporting; referrals; sexual assault support,PO Box 368,Columbus,OH,43216,USA,866-862-7286,https://www.bravo-ohio.org,,,,"Serves LGBTQ+ survivors,verified_web"
CA-SANLEANDRO-BF,Building Futures,housing_shelter,Shelter | Domestic Violence,Shelter; hotline; counseling; advocacy,1840 Fairway Dr,San Leandro,CA,94577,US,866-292-9688,https://bfwc.org/,,,24-hour hotline,verified_web
IL-CHICAGO-C4,C4 Community Counseling Centers of Chicago,mental_health,Counseling | Sexual Assault,Counseling; support groups,4740 N Clark St,Chicago,IL,60640,USA,773-769-0205,https://c4chicago.org,,,,verified_web
TX-HOU-CABRINI,Cabrini Center for Immigration Legal Assistance,legal_aid,Legal | Immigration Legal Aid,Immigration legal services; VAWA assistance; job readiness; housing support,10103 Fondren Rd Ste 300,Houston,TX,77096,USA,713-595-4100,https://cabrinicenter.org,29.6764,-95.5075,Multilingual services,verified_web
OR-POR-CALL2SAFETY,Call to Safety,domestic_violence,Multi-Service | Crisis Support,24/7 hotline; safety planning; emotional support; shelter referrals,PO Box 42610,Portland,OR,97242,USA,503-235-5333,https://calltosafety.org,45.5152,-122.6784,,verified_web
CA-CONCORD-CALLI,Calli House Youth Shelter,housing_shelter,Shelter | Youth Services,Youth shelter; crisis services,P.O. Box 1273,Concord,CA,94522,US,925-313-7704,https://calli.house/,,,Confidential youth shelter,verified_web
MA-CAMBRIDGE-CSLS,Cambridge and Somerville Legal Services,legal_aid,Legal | Civil Legal Aid,Legal services; housing; domestic violence; immigration,60 Gore St,Cambridge,MA,02141,USA,800-323-3205,https://gbls.org,,,,verified_web
GA-ATL-CAMINAR,Caminar Latino,other,Intervention | Domestic Violence,Batterer intervention; counseling,P.O. Box 93524,Atlanta,GA,30377,USA,855-226-4627,https://caminarlatino.org,,,,verified_web
CA-SANRAFAEL-CANAL,Canal Alliance,domestic_violence,Advocacy | Immigrant Services,Case management; referrals,91 Larkspur St,San Rafael,CA,94901,US,415-454-2640,https://canalalliance.org/,,,Immigrant support,verified_web
MD-WESTMINSTER-CARE,CARE Healing Center,sexual_assault,Crisis Center | Sexual Assault,Hotline; counseling; legal advocacy; medical accompaniment,P.O. Box 216,Westminster,MD,21158,USA,410-857-7322,https://cchd.org,,,,verified_web
MA-BOSTON-CASA,Casa Myrna Vazquez Inc.,housing_shelter,Shelter | Domestic Violence,Shelter; hotline; counseling; advocacy,P.O. Box 120108,Boston,MA,02112,USA,877-785-2020,https://casamyrna.org,,,Confidential shelter,verified_web
OK-OKC-CCOK,Catholic Charities Archdiocese of Oklahoma City,legal_aid,Legal | Immigration Legal Aid,Immigration legal services; family reunification; legal assistance,1501 N Classen Blvd,Oklahoma City,OK,73106,USA,800-375-8514,https://catholiccharitiesok.org,,,,"Multilingual services,verified_web"
AR-LR-CATHOLIC,Catholic Charities Diocese of Little Rock - Immigration Services,legal_aid,Legal | Immigration Legal Aid,VAWA petitions; immigration services,2500 N Tyler St,Little Rock,AR,72207,US,501-664-0340,https://dolr.org/catholic-charities/immigration-services,,,VAWA specialists,verified_web
NE-OMA-CCDVP,Catholic Charities Domestic Violence and Sexual Assault Program,housing_shelter,Shelter | Domestic Violence,Shelter; hotline; court advocacy; support groups; education; outreach,PO Box 40168,Omaha,NE,68104,USA,888-612-0266,https://www.ccomaha.org,41.2920,-95.9980,Confidential shelter,verified_web
NE-OMA-CCDVSHELTER,Catholic Charities Domestic Violence Shelter,housing_shelter,Shelter | Domestic Violence,Shelter; crisis housing; support services,PO Box 40168,Omaha,NE,68104,USA,402-558-5700,,41.2920,-95.9980,Confidential shelter,verified_web
CA-CONCORD-CCEB,Catholic Charities East Bay - Concord,legal_aid,Legal | Immigration Services,Immigration consultations,2320 Monument Blvd,Concord,CA,94520,US,510-768-3100,https://cceb.org/,,,Shared phone system,verified_web
CA-OAK-CCEB,Catholic Charities East Bay - Oakland,legal_aid,Legal | Immigration & Legal Aid,Legal representation; immigration services,433 Jefferson St,Oakland,CA,94607,US,510-768-3100,https://cceb.org/,,,Regional office,verified_web
CA-RICH-CCEB,Catholic Charities East Bay - Richmond,legal_aid,Legal | Immigration & Legal Aid,Immigration legal services; consultations,217 Harbour Way,Richmond,CA,94801,US,510-768-3100,https://cceb.org/,,,Consultations require documentation,verified_web
KS-WICHITA-HARBOR,Catholic Charities Harbor House,housing_shelter,Shelter | Domestic Violence,Emergency shelter; hotline; outreach; safety planning,437 N Topeka St,Wichita,KS,67202,USA,316-263-6000,https://catholiccharitieswichita.org/harbor-house,,,Confidential shelter,verified_web
HI-HONOLULU-CCH,Catholic Charities Hawaii,mental_health,Counseling | Domestic Violence,Counseling; case management; support services,1822 Keeaumoku St,Honolulu,HI,96822,USA,808-521-4357,https://www.catholiccharitieshawaii.org,,,Sliding scale services,verified_web
NM-ALB-CCNM,Catholic Charities New Mexico,legal_aid,Legal | Immigration Legal Aid,VAWA assistance; U-visa support; immigration legal services; multilingual services,2010 Bridge Blvd SW,Albuquerque,NM,87105,USA,505-724-4661,https://www.ccasfnm.org,35.0685,-106.6769,Multilingual services,verified_web
NV-LV-CCSN,Catholic Charities of Southern Nevada,legal_aid,Legal | Immigration Legal Aid,VAWA assistance; legal support; referrals,1501 Las Vegas Blvd N,Las Vegas,NV,89101,USA,702-383-8387,https://www.catholiccharities.com,36.1875,-115.1310,,verified_web
MA-BOSTON-CCRI,Catholic Charities Refugee Immigration Services,legal_aid,Legal | Immigration Legal Aid,Immigration legal services; advocacy,275 W Broadway,Boston,MA,02127,USA,617-464-8500,https://ccab.org,,,Serves immigrants,verified_web
UT-SLC-CCS,Catholic Community Services Immigration Program,legal_aid,Legal | Immigration Legal Aid,Immigration legal services; refugee support; legal representation,224 N 2200 W,Salt Lake City,UT,84116,USA,801-428-1295,https://www.ccsutah.org,40.7760,-111.9500,Multilingual services,verified_web
PA-PHL-CSSIMM,Catholic Social Services Immigration Program,legal_aid,Legal | Immigration Legal Aid,Immigration legal services; family assistance,222 N 17th St,Philadelphia,PA,19103,USA,215-854-7019,https://cssphiladelphia.org,,,Serves immigrants,verified_web
GA-ATL-CSS,Catholic Social Services Inc.,legal_aid,Legal | Immigration Legal Aid,Immigration legal services; advocacy,2401 Lake Park Dr SE,Smyrna,GA,30080,USA,404-920-7725,https://catholiccharitiesatlanta.org,,,Serves immigrants,verified_web
RI-PRO-CCRI,Catholic Social Services of RI,other,Multi-Service | Community Support,Social services; advocacy; support services,1 Cathedral Sq,Providence,RI,02903,USA,401-421-7833,https://dioceseofprovidence.org,41.8240,-71.4120,,verified_web
NC-GAS-CLONINGER,Cathy Mabry Cloninger Center,housing_shelter,Shelter | Domestic Violence,Shelter; advocacy; crisis support; community education,PO Box 550,Gastonia,NC,28053,USA,704-852-6000,https://www.gastoncountydv.org,35.2621,-81.1873,Confidential shelter,verified_web
MD-WAL-CAP,Center for Abused Persons,domestic_violence,Multi-Service | Domestic Violence Support,Hotline; counseling; advocacy; referrals; crisis intervention,PO Box 746,Waldorf,MD,20604,USA,301-645-3336,https://centerforabusedpersons.org,38.6246,-76.9391,,verified_web
CA-SD-CCS-HVH,Center for Community Solutions (Hidden Valley House),housing_shelter,Shelter | Domestic Violence & Sexual Assault,Emergency shelter; counseling; legal advocacy; court accompaniment; sexual assault services,4508 Mission Bay Dr,San Diego,CA,92109,US,888-385-4657,https://www.ccssd.org/,,,"Serves men, youth; Spanish + interpreters",official_site
CA-MARIN-CDP,Center for Domestic Peace,housing_shelter,Shelter | Domestic Violence,Emergency shelter; transitional housing,734 A St,San Rafael,CA,94901,US,415-924-6616,https://centerfordomesticpeace.org/,,,Marin County provider,verified_web
UT-MUR-CFET,Center for Family Evaluation & Treatment,mental_health,Counseling | Mental Health,Individual therapy; family therapy; crisis intervention,2840 E 4500 S Ste 200,Salt Lake City,UT,84117,USA,801-265-3895,https://cfetinc.com,40.6755,-111.8090,,verified_web
NJ-ROC-CHS,Center for Hope & Safety,housing_shelter,Shelter | Domestic Violence,24-hour hotline; emergency shelter; transitional housing; emotional support; advocacy,PO Box 217,Hackensack,NJ,07602,USA,201-944-9600,https://www.hopeandsafetynj.org,,,,"Confidential shelter,verified_web"
MA-LOWELL-CHH,Center for Hope and Healing Inc.,sexual_assault,Crisis Center | Sexual Assault,Hotline; counseling; advocacy; prevention,P.O. Box 57,Lowell,MA,01853,USA,800-542-5212,https://chhinc.org,,,Multilingual services,verified_web
NH-DER-CLM,Center for Life Management,mental_health,Counseling | Mental Health,Mental health services; substance use treatment; psychiatric care; crisis intervention,10 Tsienneto Rd,Derry,NH,03038,USA,603-434-1577,https://www.centerforlifemanagement.org,42.8806,-71.3273,,verified_web
GA-ATL-CPACS,Center for Pan Asian Community Services,housing_shelter,Shelter | Domestic Violence,Shelter; case management; multilingual services,3510 Shallowford Rd NE,Atlanta,GA,30341,USA,678-824-6189,https://cpacs.org,,,Multilingual services,verified_web
KY-LOUISVILLE-CWF,Center for Women and Families Louisville,housing_shelter,Shelter | Domestic Violence,24/7 hotline; emergency shelter; counseling; advocacy; case management; support groups,927 S 2nd St,Louisville,KY,40203,USA,844-237-2331,https://www.thecenteronline.org,,,Confidential shelter,verified_web
WI-MIL-CENTRO,Centro Legal,legal_aid,Legal | Family Law Legal Aid,Legal representation; family law; protective orders,614 W National Ave,Milwaukee,WI,53204,USA,414-384-7900,https://centrolegalwisconsin.org,43.0166,-87.9180,,verified_web
