var1,var2,correlation,abs_correlation,strength,direction,likely_structural,scale_effect,redundant_feature_pair
victims_age_18_29,victim_offender_rel_spouse,0.9764378589111964,0.9764378589111964,strong,positive,False,False,False
fem_poverty_rate,male_poverty_rate,0.9749239083400326,0.9749239083400326,strong,positive,False,False,False
victims_age_50_59,victims_age_70_79,0.9748608455227367,0.9748608455227367,strong,positive,False,False,False
total_incidents,white_victims,0.9722701249174868,0.9722701249174868,strong,positive,True,False,False
victims_age_50_59,victim_offender_rel_spouse,0.9719916194416105,0.9719916194416105,strong,positive,False,False,False
white_victims,victims_age_30_39,0.9719892345991956,0.9719892345991956,strong,positive,False,False,False
victims_age_18_29,victims_age_60_69,0.9718331517770911,0.9718331517770911,strong,positive,False,False,False
victims_age_60_69,dv_total,0.9702420248004421,0.9702420248004421,strong,positive,True,False,False
involving_firearm,firearm_nonmarried,0.968946825271933,0.968946825271933,strong,positive,False,False,False
victims_age_70_79,victims_age_80_plus,0.9686776621786679,0.9686776621786679,strong,positive,False,False,False
white_victims,dv_total,0.9679384829239519,0.9679384829239519,strong,positive,True,False,False
victim_offender_nonmarried_partner,victim_offender_rel_spouse,0.9672109422569417,0.9672109422569417,strong,positive,False,False,False
white_victims,victims_age_18_29,0.9671124889495092,0.9671124889495092,strong,positive,False,False,False
fem_labor_force_part,all_labor_force_part,0.9670810200136833,0.9670810200136833,strong,positive,False,False,False
victims_age_40_49,victims_age_70_79,0.9668852292494537,0.9668852292494537,strong,positive,False,False,False
white_victims,victims_age_50_59,0.9667695968492258,0.9667695968492258,strong,positive,False,False,False
white_victims,victim_offender_nonmarried_partner,0.9635731465812034,0.9635731465812034,strong,positive,False,False,False
victims_age_60_69,victim_offender_nonmarried_partner,0.9614053508963224,0.9614053508963224,strong,positive,False,False,False
total_incidents,victims_age_70_79,0.9612221865491263,0.9612221865491263,strong,positive,True,False,False
victims_age_30_39,victims_age_70_79,0.9606835780011332,0.9606835780011332,strong,positive,False,False,False
victims_age_60_69,victim_offender_rel_spouse,0.9570022565901228,0.9570022565901228,strong,positive,False,False,False
white_victims,victims_age_60_69,0.956220218058285,0.956220218058285,strong,positive,False,False,False
white_victims,sex_assaults,0.9495402439770592,0.9495402439770592,strong,positive,False,False,False
white_victims,victims_age_70_79,0.944088842090716,0.944088842090716,strong,positive,False,False,False
victims_age_70_79,dv_total,0.9438084706546083,0.9438084706546083,strong,positive,True,False,False
victims_age_18_29,victims_age_70_79,0.9428779498715345,0.9428779498715345,strong,positive,False,False,False
victims_age_70_79,victim_offender_nonmarried_partner,0.9406733069613509,0.9406733069613509,strong,positive,False,False,False
victims_age_60_69,victims_age_80_plus,0.9406314546686889,0.9406314546686889,strong,positive,False,False,False
white_pop,diversity_index,-0.9390539822568574,0.9390539822568574,strong,negative,False,False,False
victims_age_70_79,victim_offender_rel_spouse,0.9384914307160004,0.9384914307160004,strong,positive,False,False,False
victims_age_40_49,near_school,0.9373735079745663,0.9373735079745663,strong,positive,False,False,False
victims_age_18_29,sex_assaults,0.9345256688619056,0.9345256688619056,strong,positive,False,False,False
total_incidents,sex_assaults,0.9335889937970947,0.9335889937970947,strong,positive,True,False,False
victims_age_30_39,sex_assaults,0.9330563239020935,0.9330563239020935,strong,positive,False,False,False
victims_age_40_49,sex_assaults,0.9306190424434542,0.9306190424434542,strong,positive,False,False,False
total_incidents,near_school,0.9306016457899032,0.9306016457899032,strong,positive,True,False,False
%_at_least_bach_degree,avg_years_schooling,0.9305279815469405,0.9305279815469405,strong,positive,False,False,False
victims_age_30_39,near_school,0.9297486464043089,0.9297486464043089,strong,positive,False,False,False
victims_age_60_69,near_school,0.9284346386443585,0.9284346386443585,strong,positive,False,False,False
victims_age_50_59,sex_assaults,0.9277650565283306,0.9277650565283306,strong,positive,False,False,False
victims_age_50_59,near_school,0.9273548983124973,0.9273548983124973,strong,positive,False,False,False
sex_assaults,victim_offender_nonmarried_partner,0.9271156707818795,0.9271156707818795,strong,positive,False,False,False
sex_assaults,victim_offender_rel_spouse,0.9265011632063794,0.9265011632063794,strong,positive,False,False,False
victim_offender_rel_spouse,near_school,0.9246868518939042,0.9246868518939042,strong,positive,False,False,False
victims_age_18_29,near_school,0.9228108503796308,0.9228108503796308,strong,positive,False,False,False
sex_assaults,dv_total,0.9219643175795654,0.9219643175795654,strong,positive,True,False,False
white_victims,hispanic_victims,0.9194714708480255,0.9194714708480255,strong,positive,False,False,False
white_victims,near_school,0.9194040860479533,0.9194040860479533,strong,positive,False,False,False
dv_total,near_school,0.9186033167489815,0.9186033167489815,strong,positive,True,False,False
victims_age_50_59,victims_age_80_plus,0.9177591220868018,0.9177591220868018,strong,positive,False,False,False
victims_age_70_79,near_school,0.9151937961759835,0.9151937961759835,strong,positive,False,False,False
hispanic_victims,victim_offender_rel_spouse,0.9150210061986463,0.9150210061986463,strong,positive,False,False,False
victims_age_18_29,involving_firearm,0.9128394122436514,0.9128394122436514,strong,positive,False,False,False
black_victims,victims_age_18_29,0.9089986550500369,0.9089986550500369,strong,positive,False,False,False
victim_offender_nonmarried_partner,near_school,0.9083919722959087,0.9083919722959087,strong,positive,False,False,False
victims_age_60_69,sex_assaults,0.9047071008992806,0.9047071008992806,strong,positive,False,False,False
involving_firearm,victim_offender_nonmarried_partner,0.9045348699797398,0.9045348699797398,strong,positive,False,False,False
involving_firearm,dv_total,0.90421020180607,0.90421020180607,strong,positive,True,False,False
victims_age_40_49,victims_age_80_plus,0.9038424317219895,0.9038424317219895,strong,positive,False,False,False
total_incidents,involving_firearm,0.900971102974738,0.900971102974738,strong,positive,True,False,False
total_incidents,black_victims,0.900811774523637,0.900811774523637,strong,positive,True,False,False
black_victims,victims_age_30_39,0.8984360780591913,0.8984360780591913,strong,positive,False,False,False
total_incidents,victims_age_80_plus,0.8983129237822883,0.8983129237822883,strong,positive,True,False,False
victims_age_30_39,victims_age_80_plus,0.8981823898878187,0.8981823898878187,strong,positive,False,False,False
white_victims,victims_age_80_plus,0.8975968505478932,0.8975968505478932,strong,positive,False,False,False
black_victims,victims_age_50_59,0.8960859514805525,0.8960859514805525,strong,positive,False,False,False
victims_age_40_49,involving_firearm,0.8960010508742416,0.8960010508742416,strong,positive,False,False,False
involving_firearm,victim_offender_rel_spouse,0.8941608383779509,0.8941608383779509,strong,positive,False,False,False
victims_age_30_39,involving_firearm,0.893574572297525,0.893574572297525,strong,positive,False,False,False
victims_age_50_59,involving_firearm,0.8914814027272644,0.8914814027272644,strong,positive,False,False,False
victims_age_70_79,sex_assaults,0.8893032224044909,0.8893032224044909,strong,positive,False,False,False
black_victims,victims_age_40_49,0.887906790440134,0.887906790440134,strong,positive,False,False,False
victims_age_80_plus,victim_offender_nonmarried_partner,0.8855113940307673,0.8855113940307673,strong,positive,False,False,False
black_victims,dv_total,0.8854218083740735,0.8854218083740735,strong,positive,True,False,False
victim_offender_nonmarried_partner,firearm_nonmarried,0.8834505070592531,0.8834505070592531,strong,positive,False,False,False
hispanic_victims,dv_total,0.8792698351236836,0.8792698351236836,strong,positive,True,False,False
black_victims,victim_offender_nonmarried_partner,0.8782738393869887,0.8782738393869887,strong,positive,False,False,False
black_victims,victims_age_60_69,0.8779520508414891,0.8779520508414891,strong,positive,False,False,False
victims_age_18_29,victims_age_80_plus,0.8749473558180076,0.8749473558180076,strong,positive,False,False,False
victims_age_80_plus,dv_total,0.8732417753179303,0.8732417753179303,strong,positive,True,False,False
victims_age_80_plus,victim_offender_rel_spouse,0.8731206952427712,0.8731206952427712,strong,positive,False,False,False
dv_total,firearm_nonmarried,0.8717019850217381,0.8717019850217381,strong,positive,True,False,False
hispanic_victims,victims_age_40_49,0.8716985221091418,0.8716985221091418,strong,positive,False,False,False
black_victims,involving_firearm,0.8707943811869754,0.8707943811869754,strong,positive,False,False,False
victims_age_18_29,firearm_nonmarried,0.8681485842584464,0.8681485842584464,strong,positive,False,False,False
white_victims,involving_firearm,0.8638792319422605,0.8638792319422605,strong,positive,False,False,False
hispanic_victims,victims_age_30_39,0.8632313886556305,0.8632313886556305,strong,positive,False,False,False
victims_age_80_plus,sex_assaults,0.862010935316428,0.862010935316428,strong,positive,False,False,False
total_incidents,hispanic_victims,0.8608689233392478,0.8608689233392478,strong,positive,True,False,False
victims_age_80_plus,near_school,0.8604311630570918,0.8604311630570918,strong,positive,False,False,False
victims_age_60_69,involving_firearm,0.8602371111460098,0.8602371111460098,strong,positive,False,False,False
hispanic_victims,victims_age_18_29,0.856229350802464,0.856229350802464,strong,positive,False,False,False
hispanic_victims,victim_offender_nonmarried_partner,0.8539876464150974,0.8539876464150974,strong,positive,False,False,False
hispanic_victims,near_school,0.853942343340325,0.853942343340325,strong,positive,False,False,False
total_incidents,firearm_nonmarried,0.8529783009202676,0.8529783009202676,strong,positive,True,False,False
victim_offender_rel_spouse,firearm_nonmarried,0.849240185567355,0.849240185567355,strong,positive,False,False,False
victims_age_40_49,firearm_nonmarried,0.8480973902041905,0.8480973902041905,strong,positive,False,False,False
victims_age_30_39,firearm_nonmarried,0.8457313872672843,0.8457313872672843,strong,positive,False,False,False
hispanic_victims,victims_age_50_59,0.8454719204252967,0.8454719204252967,strong,positive,False,False,False
sex_assaults,near_school,0.8401010580669408,0.8401010580669408,strong,positive,False,False,False
victims_age_50_59,firearm_nonmarried,0.8400957573935653,0.8400957573935653,strong,positive,False,False,False
hispanic_victims,sex_assaults,0.8371368848934927,0.8371368848934927,strong,positive,False,False,False
hispanic_victims,victims_age_60_69,0.833337317768029,0.833337317768029,strong,positive,False,False,False
black_victims,victims_age_70_79,0.8333297306052583,0.8333297306052583,strong,positive,False,False,False
black_victims,victim_offender_rel_spouse,0.8322087121023312,0.8322087121023312,strong,positive,False,False,False
black_victims,firearm_nonmarried,0.832156782900554,0.832156782900554,strong,positive,False,False,False
black_victims,near_school,0.8294079190099294,0.8294079190099294,strong,positive,False,False,False
victims_age_70_79,involving_firearm,0.8268233957934227,0.8268233957934227,strong,positive,False,False,False
involving_firearm,near_school,0.8254741604662843,0.8254741604662843,strong,positive,False,False,False
hispanic_victims,victims_age_70_79,0.8225528098454935,0.8225528098454935,strong,positive,False,False,False
asian_pop,other_race_pop,0.8200038835728293,0.8200038835728293,strong,positive,False,False,False
involving_firearm,sex_assaults,0.8193219082790542,0.8193219082790542,strong,positive,False,False,False
%_fem_age_30-39,fem_age_60-69,-0.8187625909370203,0.8187625909370203,strong,negative,False,False,False
white_victims,firearm_nonmarried,0.8173475818163504,0.8173475818163504,strong,positive,False,False,False
asian_victims,victims_age_80_plus,0.8154417138114892,0.8154417138114892,strong,positive,False,False,False
%_fem_age_18-29,fem_age_60-69,-0.8093995899755345,0.8093995899755345,strong,negative,False,False,False
nat_amer_victims,nat_amer_pop,0.8035755128546395,0.8035755128546395,strong,positive,False,True,False
victims_age_60_69,firearm_nonmarried,0.8017785386205066,0.8017785386205066,strong,positive,False,False,False
asian_victims,victims_age_70_79,0.7882568098356748,0.7882568098356748,strong,positive,False,False,False
%_fem_age_18-29,fem_age_70-79,-0.7860255040566715,0.7860255040566715,strong,negative,False,False,False
mhhi,%_at_least_bach_degree,0.7839846668982905,0.7839846668982905,strong,positive,False,False,False
white_victims,black_victims,0.7831593136413871,0.7831593136413871,strong,positive,False,False,False
victims_age_70_79,fem_pop,0.7762768501892816,0.7762768501892816,strong,positive,False,True,False
firearm_nonmarried,near_school,0.7741094076678553,0.7741094076678553,strong,positive,False,False,False
hispanic_victims,victims_age_80_plus,0.7735692026997879,0.7735692026997879,strong,positive,False,False,False
victims_age_80_plus,fem_pop,0.7723417476578508,0.7723417476578508,strong,positive,False,True,False
victims_age_60_69,fem_pop,0.7688839214117482,0.7688839214117482,strong,positive,False,True,False
sex_assaults,firearm_nonmarried,0.7655613060300341,0.7655613060300341,strong,positive,False,False,False
fem_age_70-79,fem_age_80+,0.7641632887611839,0.7641632887611839,strong,positive,False,False,False
fem_labor_force_part,avg_years_schooling,0.7630691286082874,0.7630691286082874,strong,positive,False,False,False
victims_age_70_79,firearm_nonmarried,0.7602140995010426,0.7602140995010426,strong,positive,False,False,False
black_victims,sex_assaults,0.759228715952621,0.759228715952621,strong,positive,False,False,False
victims_age_50_59,fem_pop,0.7567406526562537,0.7567406526562537,strong,positive,False,True,False
asian_victims,hispanic_victims,0.7547367323310524,0.7547367323310524,strong,positive,False,False,False
asian_victims,victims_age_60_69,0.753743524850064,0.753743524850064,strong,positive,False,False,False
victims_age_30_39,fem_pop,0.7448815070891195,0.7448815070891195,strong,positive,False,True,False
victims_age_40_49,fem_pop,0.7434196337499718,0.7434196337499718,strong,positive,False,True,False
black_victims,victims_age_80_plus,0.7415351412061296,0.7415351412061296,strong,positive,False,False,False
white_victims,fem_pop,0.7415255199261377,0.7415255199261377,strong,positive,False,True,False
total_incidents,fem_pop,0.7414459944887454,0.7414459944887454,strong,positive,False,True,False
white_victims,asian_victims,0.7399781115096906,0.7399781115096906,strong,positive,False,False,False
sex_assaults,fem_pop,0.7371271269613441,0.7371271269613441,strong,positive,False,True,False
asian_victims,fem_pop,0.7346917664607197,0.7346917664607197,strong,positive,False,True,False
victims_age_80_plus,involving_firearm,0.7319375963559481,0.7319375963559481,strong,positive,False,False,False
fem_labor_force_part,%_at_least_bach_degree,0.7310887221353963,0.7310887221353963,strong,positive,False,False,False
hispanic_victims,involving_firearm,0.7297709953331393,0.7297709953331393,strong,positive,False,False,False
asian_victims,victims_age_50_59,0.7234033132332648,0.7234033132332648,strong,positive,False,False,False
victims_age_18_29,fem_pop,0.7232997245059158,0.7232997245059158,strong,positive,False,True,False
fem_age_60-69,fem_age_70-79,0.7230339325726113,0.7230339325726113,strong,positive,False,False,False
asian_victims,sex_assaults,0.7197843060801856,0.7197843060801856,strong,positive,False,False,False
asian_victims,victims_age_40_49,0.7172916744945613,0.7172916744945613,strong,positive,False,False,False
asian_victims,victims_age_30_39,0.712551608764942,0.712551608764942,strong,positive,False,False,False
dv_total,fem_pop,0.7104412048679865,0.7104412048679865,strong,positive,False,True,False
asian_victims,victim_offender_rel_spouse,0.7085007480565126,0.7085007480565126,strong,positive,False,False,False
%_fem_age_30-39,fem_age_70-79,-0.7072366270036314,0.7072366270036314,strong,negative,False,False,False
total_incidents,asian_victims,0.7058309834632834,0.7058309834632834,strong,positive,True,False,False
victim_offender_nonmarried_partner,fem_pop,0.7046099343416805,0.7046099343416805,strong,positive,False,True,False
victim_offender_rel_spouse,fem_pop,0.7033092862020257,0.7033092862020257,strong,positive,False,True,False
asian_victims,dv_total,0.7013917032588921,0.7013917032588921,strong,positive,True,False,False
